X;Y;ID
4212098.26737325;3880830.84394291;139833
4212491.37186822;3881518.5285705;139834
4212884.50360174;3882206.22379035;139835
4213277.66257114;3882893.92959407;139836
4213670.84877377;3883581.64597324;139837
4214064.06220695;3884269.37291946;139838
4214457.30286803;3884957.11042434;139839
4214850.57075435;3885644.85847946;139840
4215243.86586322;3886332.61707643;139841
4215637.188192;3887020.38620681;139842
4216030.53773801;3887708.16586221;139843
4216423.91449859;3888395.95603422;139844
4216817.31847106;3889083.75671441;139845
4217210.74965275;3889771.56789439;139846
4217604.20804099;3890459.38956574;139847
4217997.69363312;3891147.22172002;139848
4218391.20642645;3891835.06434884;139849
4218784.7464183;3892522.91744376;139850
4219178.31360601;3893210.78099636;139851
4219571.9079869;3893898.65499823;139852
4219965.52955828;3894586.53944095;139853
4220359.17831749;3895274.43431609;139854
4220752.85426183;3895962.33961522;139855
4221146.55738863;3896650.2553299;139856
4221540.28769521;3897338.18145173;139857
4221934.04517887;3898026.11797227;139858
4222327.82983695;3898714.06488308;139859
4222721.64166674;3899402.02217573;139860
4223115.48066557;3900089.98984179;139861
4228237.85880818;3909034.50964116;139874
4228632.0778908;3909722.62164869;139875
4151977.80064041;3776818.22445401;140161
4152366.71817468;3777504.22842691;140162
4152755.66334203;3778190.244254;140163
4153144.63613995;3778876.27192708;140164
4153533.63656594;3779562.31143795;140165
4153922.66461751;3780248.36277838;140166
4154311.72029215;3780934.42594021;140167
4154700.80358735;3781620.5009152;140168
4155089.91450063;3782306.58769516;140169
4155479.05302946;3782992.68627186;140170
4155868.21917136;3783678.79663713;140171
4156257.4129238;3784364.91878272;140172
4156646.63428428;3785051.05270045;140173
4157035.8832503;3785737.19838207;140174
4157425.15981934;3786423.35581941;140175
4157814.46398889;3787109.52500421;140176
4158203.79575645;3787795.70592828;140177
4158593.15511949;3788481.89858338;140178
4158982.5420755;3789168.10296132;140179
4159371.95662197;3789854.31905385;140180
4159761.39875638;3790540.54685275;140181
4160150.86847622;3791226.78634981;140182
4160540.36577896;3791913.0375368;140183
4160929.89066209;3792599.30040548;140184
4161319.44312309;3793285.57494764;140185
4161709.02315943;3793971.86115505;140186
4162098.63076859;3794658.15901945;140187
4162488.26594805;3795344.46853264;140188
4162877.92869529;3796030.78968638;140189
4163267.61900777;3796717.12247242;140190
4163657.33688297;3797403.46688253;140191
4164047.08231836;3798089.82290848;140192
4164436.85531142;3798776.19054203;140193
4164826.65585962;3799462.56977493;140194
4165216.48396041;3800148.96059894;140195
4165606.33961128;3800835.36300583;140196
4165996.22280968;3801521.77698734;140197
4166386.13355308;3802208.20253523;140198
4166776.07183895;3802894.63964125;140199
4167166.03766476;3803581.08829715;140200
4167556.03102795;3804267.54849469;140201
4167946.051926;3804954.02022562;140202
4168336.10035637;3805640.50348168;140203
4168726.17631651;3806326.9982546;140204
4169116.27980388;3807013.50453615;140205
4169506.41081594;3807700.02231807;140206
4169896.56935015;3808386.55159209;140207
4170286.75540396;3809073.09234997;140208
4170676.96897482;3809759.64458342;140209
4171067.21006019;3810446.20828421;140210
4171457.47865752;3811132.78344404;140211
4171847.77476426;3811819.37005469;140212
4172238.09837786;3812505.96810786;140213
4172628.44949576;3813192.5775953;140214
4173018.82811543;3813879.19850874;140215
4173409.23423429;3814565.83083989;140216
4173799.66784981;3815252.4745805;140217
4174190.12895941;3815939.1297223;140218
4174580.61756056;3816625.79625701;140219
4174971.13365067;3817312.47417633;140220
4175361.67722721;3817999.16347203;140221
4175752.24828761;3818685.86413579;140222
4176142.84682931;3819372.57615937;140223
4176533.47284974;3820059.29953445;140224
4176924.12634634;3820746.03425277;140225
4177314.80731656;3821432.78030605;140226
4177705.51575781;3822119.53768599;140227
4178096.25166755;3822806.30638432;140228
4178487.01504319;3823493.08639274;140229
4178877.80588218;3824179.87770298;140230
4179268.62418194;3824866.68030672;140231
4179659.4699399;3825553.49419569;140232
4180050.34315349;3826240.3193616;140233
4180441.24382014;3826927.15579614;140234
4180832.17193727;3827614.00349104;140235
4181223.12750231;3828300.86243797;140236
4181614.11051269;3828987.73262866;140237
4182005.12096582;3829674.61405479;140238
4182396.15885913;3830361.50670807;140239
4182787.22419004;3831048.41058022;140240
4183178.31695597;3831735.3256629;140241
4183569.43715433;3832422.25194782;140242
4183960.58478255;3833109.18942668;140243
4184351.75983804;3833796.13809116;140244
4184742.96231823;3834483.09793297;140245
4185134.19222051;3835170.06894378;140246
4185525.44954231;3835857.0511153;140247
4185916.73428104;3836544.04443919;140248
4186308.04643411;3837231.04890716;140249
4186699.38599893;3837918.06451089;140250
4187090.75297292;3838605.09124206;140251
4187482.14735347;3839292.12909235;140252
4187873.56913799;3839979.17805345;140253
4188265.01832389;3840666.23811703;140254
4188656.49490859;3841353.30927477;140255
4189047.99888947;3842040.39151834;140256
4189439.53026394;3842727.48483944;140257
4189831.08902941;3843414.58922972;140258
4190222.67518328;3844101.70468087;140259
4190614.28872294;3844788.83118455;140260
4191005.9296458;3845475.96873243;140261
4191397.59794924;3846163.1173162;140262
4191789.29363068;3846850.27692749;140263
4192181.0166875;3847537.44755799;140264
4192572.7671171;3848224.62919937;140265
4192964.54491686;3848911.82184329;140266
4193356.3500842;3849599.02548141;140267
4193748.18261649;3850286.24010538;140268
4194140.04251112;3850973.46570687;140269
4194531.92976548;3851660.70227754;140270
4194923.84437697;3852347.94980904;140271
4195315.78634297;3853035.20829304;140272
4195707.75566087;3853722.47772119;140273
4196099.75232804;3854409.75808514;140274
4196491.77634188;3855097.04937653;140275
4196883.82769976;3855784.35158702;140276
4197275.90639907;3856471.66470827;140277
4197668.01243719;3857158.98873192;140278
4198060.1458115;3857846.32364961;140279
4198452.30651937;3858533.669453;140280
4198844.49455819;3859221.02613372;140281
4199236.70992533;3859908.39368342;140282
4199628.95261817;3860595.77209374;140283
4200021.22263407;3861283.16135631;140284
4200413.51997042;3861970.5614628;140285
4200805.84462459;3862657.97240481;140286
4201198.19659394;3863345.39417399;140287
4201590.57587584;3864032.82676199;140288
4201982.98246767;3864720.27016042;140289
4202375.4163668;3865407.72436093;140290
4202767.87757058;3866095.18935513;140291
4203160.36607639;3866782.66513468;140292
